Domain,Status,Attractiveness,Demand,Length,Sectors,Created,Expires,Registrar
fiftyone.sucks,available,56,7%,9,Mathematics,,,
xxiii.sucks,available,56,5%,5,Mathematics,,,
lviii.sucks,available,56,1%,5,Mathematics,,,
aone.sucks,available,56,15%,5,Food and Beverage,,,
xxxv.sucks,available,56,4%,4,Mathematics,,,
xxxiv.sucks,available,56,1%,5,Mathematics,,,
thirtytwo.sucks,available,56,5%,10,Mathematics,,,
lvi.sucks,available,56,8%,3,Mathematics,,,
potbellied.sucks,available,56,0%,10,"Health and Fitness,Medicine",,,
xliv.sucks,available,56,2%,4,Mathematics,,,
xxxii.sucks,available,56,1%,5,Mathematics,,,
admittable.sucks,available,56,1%,10,"Education,Healthcare,Hospitality",,,
addled.sucks,available,56,2%,6,Entertainment,,,
accoutered.sucks,available,56,0%,10,"Fashion,Manufacturing,Retail",,,
xlvi.sucks,available,56,3%,4,Mathematics,,,
quadruplet.sucks,available,54,1%,10,"Healthcare,Medicine,Science",,,
aboral.sucks,available,54,2%,6,Science,,,
achromatic.sucks,available,54,4%,10,Science,,,
fin.sucks,available,54,30%,3,Finance,,,
unnatural.sucks,available,54,4%,9,"Medicine,Science",,,
vii.sucks,available,54,13%,3,Mathematics,,,
achy.sucks,available,54,3%,4,Healthcare,,,
abasic.sucks,available,54,1%,6,Science,,,
accentual.sucks,available,54,3%,9,"Arts,Entertainment",,,
twoscore.sucks,available,54,2%,8,Mathematics,,,
abducens.sucks,available,54,1%,8,Medicine,,,
adducting.sucks,available,54,1%,9,"Engineering,Mathematics,Science",,,
viii.sucks,available,54,6%,4,Mathematics,,,
threescore.sucks,available,54,1%,10,Mathematics,,,
iii.sucks,available,54,24%,3,Mathematics,,,
deserted.sucks,available,54,3%,8,"Hospitality,Real Estate",,,
abhorrent.sucks,available,54,1%,9,Humanities,,,
quatern.sucks,available,54,2%,7,Mathematics,,,
adjuratory.sucks,available,54,0%,10,"Law,Politics,Religion",,,
acoustical.sucks,available,54,4%,10,Science,,,
admonitory.sucks,available,54,0%,10,"Business,Education,Healthcare",,,
deuceace.sucks,available,54,2%,9,Sports,,,
quintuplet.sucks,available,54,1%,10,"Healthcare,Medicine,Science",,,
adaxial.sucks,available,54,2%,7,Science,,,
quaternion.sucks,available,54,6%,10,Mathematics,,,
monitory.sucks,available,54,3%,8,"Business,Education,Healthcare",,,
quaternity.sucks,available,54,4%,10,Mathematics,,,
sise.sucks,available,54,5%,4,Mathematics,,,
abaxial.sucks,available,54,1%,7,Science,,,
ternion.sucks,available,54,3%,7,Mathematics,,,
adducent.sucks,available,54,1%,8,"Engineering,Mathematics,Science",,,
abatic.sucks,available,54,1%,6,Science,,,
fortyfive.sucks,available,54,4%,10,Mathematics,,,
abatable.sucks,available,54,1%,8,Law,,,
accursed.sucks,available,54,3%,8,"Entertainment,Media,Religion",,,
adductive.sucks,available,54,0%,9,"Engineering,Mathematics,Science",,,
scratchy.sucks,available,54,3%,8,Fashion,,,
actuated.sucks,available,54,2%,8,"Automotive,Manufacturing,Technology",,,
topnotch.sucks,available,54,18%,8,Business,,,
abient.sucks,available,54,1%,6,Science,,,
adpressed.sucks,available,54,0%,9,"Agriculture,Manufacturing,Retail",,,
sestet.sucks,available,53,1%,6,Arts,,,
xxx.sucks,available,53,30%,3,"Arts,Entertainment,Media",,,
septet.sucks,available,53,1%,6,General,,,
lxiv.sucks,available,52,3%,4,Mathematics,,,
odious.sucks,available,52,2%,6,"Entertainment,Humanities",,,
lxxii.sucks,available,52,1%,5,Mathematics,,,
lxxvi.sucks,available,52,1%,5,Mathematics,,,
lxxxiv.sucks,available,52,1%,6,Mathematics,,,
ninetytwo.sucks,available,52,4%,10,Mathematics,,,
ablated.sucks,available,52,1%,7,Science,,,
lxvii.sucks,available,52,1%,5,Mathematics,,,
xciv.sucks,available,52,2%,4,Mathematics,,,
lxxxii.sucks,available,52,1%,6,Mathematics,,,
chagrined.sucks,available,52,1%,9,Humanities,,,
sixtyfive.sucks,available,52,3%,10,Mathematics,,,
ninetysix.sucks,available,52,4%,10,Mathematics,,,
xci.sucks,available,52,4%,3,Mathematics,,,
sixtyfour.sucks,available,52,3%,10,Mathematics,,,
repulsive.sucks,available,52,1%,9,Humanities,,,
abusive.sucks,available,52,3%,7,"Healthcare,Law",,,
repugnant.sucks,available,52,1%,9,Humanities,,,
lxxv.sucks,available,52,1%,4,Mathematics,,,
lxxxiii.sucks,available,52,1%,7,Mathematics,,,
abysmal.sucks,available,52,4%,7,"Arts,Entertainment,Media",,,
eightytwo.sucks,available,52,4%,10,Mathematics,,,
uphill.sucks,available,52,7%,6,"Sports,Transportation,Travel",,,
abominable.sucks,available,52,2%,10,"Entertainment,Humanities",,,
lxxiv.sucks,available,52,1%,5,Mathematics,,,
lxxxvii.sucks,available,52,1%,7,Mathematics,,,
xcvi.sucks,available,52,2%,4,Mathematics,,,
xcv.sucks,available,52,7%,3,Mathematics,,,
ixl.sucks,available,52,9%,3,Mathematics,,,
xcii.sucks,available,52,2%,4,Mathematics,,,
ninetyone.sucks,available,52,5%,10,Mathematics,,,
adenoidal.sucks,available,52,1%,9,"Health and Fitness,Medicine,Science",,,
lxvi.sucks,available,52,3%,4,Mathematics,,,
lxiii.sucks,available,52,2%,5,Mathematics,,,
ixc.sucks,available,52,5%,3,Mathematics,,,
xcvii.sucks,available,52,1%,5,Mathematics,,,
tierce.sucks,available,52,3%,6,General,,,
xciii.sucks,available,52,1%,5,Mathematics,,,
lxxi.sucks,available,52,1%,4,Mathematics,,,
lxxxv.sucks,available,52,1%,5,Mathematics,,,
lxi.sucks,available,52,5%,3,Mathematics,,,
xcviii.sucks,available,52,1%,6,Mathematics,,,
decumbent.sucks,available,52,1%,9,"Healthcare,Medicine,Science",,,
lxviii.sucks,available,52,1%,6,Mathematics,,,
sixtysix.sucks,available,52,4%,9,Mathematics,,,
lxv.sucks,available,52,5%,3,Mathematics,,,
sixtytwo.sucks,available,52,3%,9,Mathematics,,,
lxxxvi.sucks,available,52,1%,6,Mathematics,,,
eightyone.sucks,available,52,3%,10,Mathematics,,,
aboulic.sucks,available,52,1%,7,Medicine,,,
lxxvii.sucks,available,52,2%,6,Mathematics,,,
lxxxi.sucks,available,52,1%,5,Mathematics,,,
lxii.sucks,available,52,1%,4,Mathematics,,,
abstruse.sucks,available,52,5%,8,"Humanities,Mathematics,Science",,,
littlejoe.sucks,available,52,2%,10,"Entertainment,Media",,,
detestable.sucks,available,52,1%,10,Humanities,,,
lxxiii.sucks,available,52,1%,6,Mathematics,,,
cinque.sucks,available,50,7%,6,Mathematics,,,
gillless.sucks,available,50,0%,9,Science,,,
acerbic.sucks,available,50,2%,7,"Arts,Humanities,Media",,,
scummy.sucks,available,50,1%,6,Humanities,,,
broached.sucks,available,50,0%,8,Food and Beverage,,,
triplet.sucks,available,50,8%,7,Science,,,
trine.sucks,available,50,11%,5,"General,Religion",,,
abranchial.sucks,available,50,0%,10,Science,,,
acapnic.sucks,available,50,0%,7,"Healthcare,Medicine,Science",,,
needlelike.sucks,available,50,0%,10,"Engineering,Medicine,Science",,,
acellular.sucks,available,50,1%,9,Science,,,
ogdoad.sucks,available,50,1%,6,Mathematics,,,
acetous.sucks,available,50,1%,7,Science,,,
acerb.sucks,available,50,2%,5,Science,,,
abactinal.sucks,available,50,0%,9,Science,,,
acetose.sucks,available,50,1%,7,Science,,,
adhominem.sucks,available,50,2%,10,"Humanities,Law,Politics",,,
abdicable.sucks,available,50,0%,9,Law,,,
vinegary.sucks,available,50,1%,8,Food and Beverage,,,
abbatial.sucks,available,50,0%,8,Religion,,,
abducting.sucks,available,50,0%,9,Medicine,,,
acquitted.sucks,available,50,1%,9,Law,,,
acerose.sucks,available,50,1%,7,Science,,,
spinous.sucks,available,50,1%,7,"Agriculture,Science",,,
acapnotic.sucks,available,50,0%,9,"Healthcare,Medicine,Science",,,
quint.sucks,available,50,13%,5,"Arts,Entertainment",,,
aborticide.sucks,available,50,0%,10,Medicine,,,
adactylous.sucks,available,50,0%,10,Science,,,
acaudal.sucks,available,50,1%,7,"Agriculture,Science",,,
lxx.sucks,available,50,5%,3,Mathematics,,,
aculeated.sucks,available,50,0%,9,"Engineering,Medicine,Science",,,
abomasal.sucks,available,50,0%,8,Agriculture,,,
ilxx.sucks,available,48,1%,4,Mathematics,,,
apriori.sucks,available,48,13%,8,Mathematics,,,
abstracted.sucks,available,48,5%,10,"Arts,Humanities,Science",,,
lxxxviii.sucks,available,48,1%,8,Mathematics,,,
notguilty.sucks,available,48,5%,10,Law,,,
abyssal.sucks,available,48,12%,7,"Arts,Entertainment,Media",,,
ilxxx.sucks,available,48,1%,5,Mathematics,,,
execrable.sucks,available,48,0%,9,"Entertainment,Humanities",,,
stripling.sucks,available,46,2%,9,"Education,Entertainment,Healthcare",,,
acephalous.sucks,available,46,1%,10,Science,,,
acapnial.sucks,available,46,0%,8,"Healthcare,Medicine,Science",,,
quaternary.sucks,available,46,3%,10,Mathematics,,,
acarpous.sucks,available,46,0%,8,"Agriculture,Science",,,
achenial.sucks,available,46,1%,8,Science,,,
theabsurd.sucks,available,46,1%,10,"Arts,Entertainment,Media",,,
acetylenic.sucks,available,46,1%,10,Science,,,
achromous.sucks,available,46,1%,9,Science,,,
acetylic.sucks,available,46,1%,8,Science,,,
acetonic.sucks,available,46,1%,8,Science,,,
acicular.sucks,available,46,2%,8,Science,,,
stemless.sucks,available,46,2%,8,"Agriculture,Science",,,
acaudate.sucks,available,46,1%,8,"Agriculture,Science",,,
acarpelous.sucks,available,46,0%,10,"Agriculture,Science",,,
acanthoid.sucks,available,46,1%,9,"Agriculture,Science",,,
acanthous.sucks,available,46,0%,9,"Agriculture,Science",,,
vinegarish.sucks,available,46,1%,10,Food and Beverage,,,
achromic.sucks,available,46,2%,8,Science,,,
acheronian.sucks,available,46,1%,10,Humanities,,,
acanthotic.sucks,available,46,0%,10,"Agriculture,Science",,,
acetabular.sucks,available,46,1%,10,Science,,,
cotyloid.sucks,available,46,1%,8,Science,,,
cotyloidal.sucks,available,44,1%,10,Science,,,
acherontic.sucks,available,44,1%,10,Humanities,,,
accusatory.sucks,available,44,1%,10,Law,,,
phoebe.sucks,available,41,14%,6,Science,,,
abscessed.sucks,available,41,0%,9,Healthcare,,,
accusive.sucks,available,40,1%,8,Law,,,
accurst.sucks,available,40,1%,7,Religion,,,
scurrilous.sucks,available,40,1%,10,"Entertainment,Media,Politics",,,
